id,name,category,description,is_active,created_at,updated_at
1,banking,Finance,"Topics: business banking, personal banking, online banking, mobile banking, credit",1,2025-08-07 00:12:52,
2,fintech,Finance,"Topics: payment processing, digital wallets, peer-to-peer payments, bitcoin, ethereum",1,2025-08-07 00:12:52,
3,trading,Finance,"Topics: day trading, swing trading, algorithmic trading, portfolio management",1,2025-08-07 00:12:52,
4,insurance,Finance,"Topics: insurance claims, insurance comparison, insurance quotes, coverage",1,2025-08-07 00:12:52,
5,investing,Finance,"Topics: index funds, dividend investing, growth investing, real estate investing",1,2025-08-07 00:12:52,
6,medical,Health,"Topics: telehealth, medical devices, pharmaceuticals, clinical trials",1,2025-08-07 00:12:52,
7,nutrition,Health,"Topics: meal planning, weight loss, protein supplements, organic food",1,2025-08-07 00:12:52,
8,fitness,Health,"Topics: home workouts, strength training, cardio, yoga, pilates",1,2025-08-07 00:12:52,
9,mental_health,Health,"Topics: anxiety, depression, stress management, mental wellness apps",1,2025-08-07 00:12:52,
10,ai_ml,Technology,"Topics: ChatGPT, large language models, computer vision, natural language processing",1,2025-08-07 00:12:52,
11,cybersecurity,Technology,"Topics: data breaches, malware protection, identity theft, network security",1,2025-08-07 00:12:52,
12,cloud,Technology,"Topics: cloud migration, cloud storage, cloud security, microservices",1,2025-08-07 00:12:52,
13,mobile_apps,Technology,"Topics: app store optimization, mobile UI/UX, app monetization, cross-platform",1,2025-08-07 00:12:52,
14,saas,Business,"Topics: customer management, project management, team collaboration, automation",1,2025-08-07 00:12:52,
15,marketing,Business,"Topics: email marketing, influencer marketing, marketing automation, analytics",1,2025-08-07 00:12:52,
16,startups,Business,"Topics: startup advice, fundraising, product development, scaling",1,2025-08-07 00:12:52,
17,ecommerce,E-commerce,"Topics: Shopify, Amazon FBA, conversion optimization, customer retention",1,2025-08-07 00:12:52,
18,product_reviews,E-commerce,"Topics: electronics reviews, home products, gadgets, consumer reports",1,2025-08-07 00:12:52,
19,travel,Travel,"Topics: travel planning, budget travel, luxury travel, solo travel",1,2025-08-07 00:12:52,
20,booking,Travel,"Topics: flight booking, hotel booking, car rental, travel insurance",1,2025-08-07 00:12:52,
21,food,Lifestyle,"Topics: healthy recipes, meal prep, food delivery, cooking tips",1,2025-08-07 00:12:52,
22,fashion,Lifestyle,"Topics: sustainable fashion, outfit ideas, fashion brands, shopping",1,2025-08-07 00:12:52,
23,home_improvement,Lifestyle,"Topics: home renovation, smart home, gardening, home maintenance",1,2025-08-07 00:12:52,
